Métrica,Meta Mínima,Meta Ideal,Frequência Monitoramento,Ferramenta
CTR (Taxa de Cliques),"≥ 1,5%","≥ 2,5%",Diário (18h),Meta Ads Manager
CPC (Custo por Clique),"≤ R$ 0,50","≤ R$ 0,35",Diário (18h),Meta Ads Manager
CPM (Custo por 1000 impressões),"R$ 2,00 - R$ 6,00","R$ 2,00 - R$ 4,00",Diário (18h),Meta Ads Manager
Frequência,"< 2,5","< 2,0",Diário (18h),Meta Ads Manager
Visitas ao Perfil/dia,≥ 40,≥ 60,A cada 3 dias,Instagram Insights
Novos Seguidores/dia,≥ 20-30,≥ 40-50,A cada 3 dias,Instagram Insights
Taxa de Conversão Perfil→Seguidor,≥ 10%,≥ 15%,Semanal,Instagram Insights
Custo por Seguidor,"≤ R$ 1,30","≤ R$ 1,00",Semanal,Meta Ads Manager
Engajamento nos Reels (%),≥ 3%,≥ 5%,Por post,Instagram Insights
Alcance dos Reels,≥ 5.000,≥ 10.000,Por post,Instagram Insights
Salvamentos,≥ 50,≥ 100,Por post,Instagram Insights
Compartilhamentos,≥ 20,≥ 50,Por post,Instagram Insights
Visualizações Stories,≥ 15% dos seguidores,≥ 20% dos seguidores,Diário,Instagram Insights
Taxa de Retenção Stories (%),≥ 70%,≥ 80%,Diário,Instagram Insights
Comentários por Post,≥ 5,≥ 10,Por post,Instagram Insights
Mensagens Diretas,≥ 10,≥ 20,Diário,Instagram Direct
