Data,Formato,Tema,Hook,CTA,Objetivo,Stories
21/10 (Seg),Reel,Transformação (Antes/Depois),Olha só o que 7 dias fizeram...,Me segue pra ver mais transformações,Migração Tráfego + Seguidores,3-5 stories: Bastidores da gravação + Enquete 'Você cuida do seu cabelo?'
22/10 (Ter),Stories,Rotina matinal,Você começa o dia assim também?,Responde aqui,Engajamento Stories,Sequência de 5-7 stories mostrando rotina
23/10 (Qua),Reel,Autocuidado Real,Hoje escolhi ME CUIDAR...,Salva pra lembrar,Salvamentos + Alcance,Behind the scenes do Reel + Caixinha de perguntas
24/10 (Qui),Stories,Dica rápida capilar,Você está fazendo isso ERRADO,Testa e me conta,Interação DM,Tutorial em 3 passos
25/10 (Sex),Reel,Recomeços + Reflexão,"Desisti várias vezes, mas...",Esse perfil é seu lugar,Conexão Emocional,Mensagem inspiradora + Música
26/10 (Sáb),Carrossel,Hidratação Passo a Passo,3 passos pro cabelo dos sonhos,Salva e compartilha,Educação + Salvamentos,Resultado da hidratação
27/10 (Dom),Stories,Descanso e reflexão,Domingos também são importantes,Como foi sua semana?,Proximidade,Momento pessoal + Playlist
28/10 (Seg),Reel TESTE A,Segredo que ninguém conta,Ninguém te conta isso sobre cabelo...,Testa no seu cabelo hoje,Teste A/B Hook,Enquete: 'Você sabia disso?'
29/10 (Ter),Stories,Dia a dia real,Um dia na minha vida,Quer ver mais?,Humanização,Vlog Stories 7-10 cards
30/10 (Qua),Reel TESTE B,Erros comuns (Carrossel em vídeo),3 erros que TODOS cometem,Curta e siga pra mais,Teste A/B Formato,Complemento dos erros
31/10 (Qui),Stories,Interação direta,Me pergunta QUALQUER coisa,Caixinha aberta,Engajamento DM,Caixinha de perguntas + respostas
01/11 (Sex),Reel,Conteúdo Viral (melhor da semana),Isso mudou TUDO pra mim,Compartilha com quem precisa,Compartilhamentos,Agradecimento + Meta de seguidores
02/11 (Sáb),Carrossel,Produtos que uso (Recomendação),5 produtos que VALEM a pena,Salva pra não esquecer,Autoridade,Detalhes de cada produto
03/11 (Dom),Stories,Enquete + Poll,Qual seu maior desafio capilar?,Vote aqui,Research de audiência,Série de enquetes
04/11 (Seg),Reel,Resultado comprovado,A prova está aqui...,Me segue pra acompanhar,Social Proof,Depoimentos (se houver)
05/11 (Ter),Stories,Tutorial completo,Passo a passo COMPLETO,Salva nos destaques,Conteúdo de valor,Tutorial em 10+ cards
06/11 (Qua),Reel,Tendência/Áudio viral,[Áudio em alta],Faz o seu também,Alcance algorítmico,Bastidores da tendência
07/11 (Qui),Stories,Antes & Depois,Transformação real,Desliza pra ver,Prova visual,Comparativo em slides
08/11 (Sex),Reel,Storytelling pessoal,Eu pensei que era impossível até...,Se identifica? Comenta,Conexão profunda,Continuação da história
09/11 (Sáb),Carrossel,Checklist/Guia prático,Checklist: cabelo saudável em 30 dias,Salva e segue o plano,Conteúdo salvável,Motivação para começar
10/11 (Dom),Stories,Recap da semana,Essa semana foi incrível,Qual foi seu post favorito?,Feedback,Melhores momentos
11/11 (Seg),Reel,Melhor conteúdo (repost otimizado),[Hook com melhor performance],Não viu? Então vê agora,Maximizar melhor criativo,Por que repostei
12/11 (Ter),Stories,Sessão AMA (Ask Me Anything),Respondo TUDO hoje,Pergunta o que quiser,Proximidade máxima,Sessão de respostas
13/11 (Qua),Reel,Colaboração (se possível),Olha quem veio aqui,Segue nós duas,Cross-promotion,Bastidores da collab
14/11 (Qui),Stories,Rotina noturna,Como termino meu dia,E você?,Conteúdo de identificação,Vlog noturno
15/11 (Sex),Reel,Mito vs Verdade,Você acredita nisso? É MITO!,Compartilha pra educar,Educação + Viralização,Mais mitos desmistificados
16/11 (Sáb),Carrossel,Retrospectiva do mês,1 mês de transformação,Acompanha a jornada,Celebração,Gratidão + Números
17/11 (Dom),Stories,Planejamento próxima semana,Semana que vem vem novidade,Ativa as notificações,Antecipação,Teaser de conteúdos
